Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
922,Entry short,2026-01-23 08:30,Short,25588.25,1,511765,-2000,-0.39,630,0.12,-2625,-0.51,-42200,-4.22
923,Exit long,2026-01-23 13:00,Short,25729,1,513765,815,0.16,3150,0.61,-290,-0.06,-41385,-4.14
923,Entry long,2026-01-23 10:00,Long,25688.25,1,513765,815,0.16,3150,0.61,-290,-0.06,-41385,-4.14
924,Exit short,2026-01-23 14:15,Long,25745.25,1,514580,-325,-0.06,295,0.06,-915,-0.18,-41710,-4.17
924,Entry short,2026-01-23 13:00,Short,25729,1,514580,-325,-0.06,295,0.06,-915,-0.18,-41710,-4.17
925,Exit long,2026-01-23 16:45,Short,25680.5,1,514905,-1295,-0.25,265,0.05,-1460,-0.28,-43005,-4.30
925,Entry long,2026-01-23 14:15,Long,25745.25,1,514905,-1295,-0.25,265,0.05,-1460,-0.28,-43005,-4.30
926,Exit short,2026-01-25 19:15,Long,25607,1,513610,1470,0.29,6305,1.23,0,0.00,-41535,-4.15
926,Entry short,2026-01-23 16:45,Short,25680.5,1,513610,1470,0.29,6305,1.23,0,0.00,-41535,-4.15
927,Exit long,2026-01-26 04:45,Short,25618.25,1,512140,225,0.04,2700,0.53,-885,-0.17,-41310,-4.13
927,Entry long,2026-01-25 19:15,Long,25607,1,512140,225,0.04,2700,0.53,-885,-0.17,-41310,-4.13
928,Exit short,2026-01-26 06:45,Long,25670.5,1,512365,-1045,-0.20,80,0.02,-1125,-0.22,-42355,-4.24
928,Entry short,2026-01-26 04:45,Short,25618.25,1,512365,-1045,-0.20,80,0.02,-1125,-0.22,-42355,-4.24
929,Exit long,2026-01-26 15:00,Short,25882,1,513410,4230,0.82,5320,1.04,-250,-0.05,-38125,-3.81
929,Entry long,2026-01-26 06:45,Long,25670.5,1,513410,4230,0.82,5320,1.04,-250,-0.05,-38125,-3.81
930,Exit short,2026-01-26 16:30,Long,25867.25,1,517640,295,0.06,960,0.19,-260,-0.05,-37830,-3.78
930,Entry short,2026-01-26 15:00,Short,25882,1,517640,295,0.06,960,0.19,-260,-0.05,-37830,-3.78
931,Exit long,2026-01-27 02:15,Short,25999,1,517345,2635,0.51,3220,0.62,-575,-0.11,-35195,-3.52
931,Entry long,2026-01-26 16:30,Long,25867.25,1,517345,2635,0.51,3220,0.62,-575,-0.11,-35195,-3.52
932,Exit short,2026-01-27 05:45,Long,26005.75,1,519980,-135,-0.03,640,0.12,-430,-0.08,-35330,-3.53
932,Entry short,2026-01-27 02:15,Short,25999,1,519980,-135,-0.03,640,0.12,-430,-0.08,-35330,-3.53
933,Exit long,2026-01-27 09:00,Short,25995.25,1,520115,-210,-0.04,745,0.14,-465,-0.09,-35540,-3.55
933,Entry long,2026-01-27 05:45,Long,26005.75,1,520115,-210,-0.04,745,0.14,-465,-0.09,-35540,-3.55
