Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
9629,Exit short,2006-03-24 10:15,Short X,1702.5,1,33850,-200,-0.59,30,0.09,-200,-0.59,-1740,-3.48
9629,Entry short,2006-03-24 09:45,Short,1692.5,1,33850,-200,-0.59,30,0.09,-200,-0.59,-1740,-3.48
9630,Exit long,2006-03-24 11:45,Short,1699,1,34060,-80,-0.23,60,0.18,-160,-0.47,-1820,-3.64
9630,Entry long,2006-03-24 10:15,Long,1703,1,34060,-80,-0.23,60,0.18,-160,-0.47,-1820,-3.64
9631,Exit short,2006-03-24 15:00,Long,1693,1,33980,120,0.35,270,0.79,-20,-0.06,-1700,-3.40
9631,Entry short,2006-03-24 11:45,Short,1699,1,33980,120,0.35,270,0.79,-20,-0.06,-1700,-3.40
9632,Exit long,2006-03-26 20:45,Short,1698.5,1,33860,110,0.32,130,0.38,-40,-0.12,-1590,-3.18
9632,Entry long,2006-03-24 15:00,Long,1693,1,33860,110,0.32,130,0.38,-40,-0.12,-1590,-3.18
9633,Exit short,2006-03-27 02:15,Long,1698,1,33970,10,0.03,40,0.12,-30,-0.09,-1580,-3.16
9633,Entry short,2006-03-26 20:45,Short,1698.5,1,33970,10,0.03,40,0.12,-30,-0.09,-1580,-3.16
9634,Exit long,2006-03-27 09:00,Short,1698,1,33960,0,0.00,110,0.32,-20,-0.06,-1580,-3.16
9634,Entry long,2006-03-27 02:15,Long,1698,1,33960,0,0.00,110,0.32,-20,-0.06,-1580,-3.16
9635,Exit short,2006-03-27 09:30,Short X,1703.25,1,33960,-105,-0.31,80,0.24,-105,-0.31,-1685,-3.37
9635,Entry short,2006-03-27 09:00,Short,1698,1,33960,-105,-0.31,80,0.24,-105,-0.31,-1685,-3.37
9636,Exit long,2006-03-27 15:45,Short,1698,1,34050,-90,-0.26,20,0.06,-170,-0.50,-1775,-3.55
9636,Entry long,2006-03-27 09:45,Long,1702.5,1,34050,-90,-0.26,20,0.06,-170,-0.50,-1775,-3.55
9637,Exit short,2006-03-27 20:45,Long,1698,1,33960,0,0.00,10,0.03,-70,-0.21,-1775,-3.55
9637,Entry short,2006-03-27 15:45,Short,1698,1,33960,0,0.00,10,0.03,-70,-0.21,-1775,-3.55
9638,Exit long,2006-03-28 00:30,Short,1697.5,1,33960,-10,-0.03,0,0.00,-20,-0.06,-1785,-3.57
9638,Entry long,2006-03-27 20:45,Long,1698,1,33960,-10,-0.03,0,0.00,-20,-0.06,-1785,-3.57
9639,Exit short,2006-03-28 02:15,Long,1699.5,1,33950,-40,-0.12,0,0.00,-40,-0.12,-1825,-3.65
9639,Entry short,2006-03-28 00:30,Short,1697.5,1,33950,-40,-0.12,0,0.00,-40,-0.12,-1825,-3.65
9640,Exit long,2006-03-28 04:15,Short,1701,1,33990,30,0.09,70,0.21,-10,-0.03,-1795,-3.59
9640,Entry long,2006-03-28 02:15,Long,1699.5,1,33990,30,0.09,70,0.21,-10,-0.03,-1795,-3.59
9641,Exit short,2006-03-28 09:30,Long,1702,1,34020,-20,-0.06,100,0.29,-30,-0.09,-1815,-3.63
9641,Entry short,2006-03-28 04:15,Short,1701,1,34020,-20,-0.06,100,0.29,-30,-0.09,-1815,-3.63
9642,Exit long,2006-03-28 14:15,Short,1697.5,1,34040,-90,-0.26,200,0.59,-130,-0.38,-1905,-3.81
9642,Entry long,2006-03-28 09:30,Long,1702,1,34040,-90,-0.26,200,0.59,-130,-0.38,-1905,-3.81
9643,Exit short,2006-03-28 19:00,Long,1689,1,33950,170,0.50,280,0.82,0,0.00,-1735,-3.47
9643,Entry short,2006-03-28 14:15,Short,1697.5,1,33950,170,0.50,280,0.82,0,0.00,-1735,-3.47
